,ep_team_name,nhl_team_name,roster_team_x,roster_team_y
908,HC Stadion Litoměřice,,,
910,Everett Silvertips,,,
918,IFK Ore,,,
919,Abbotsford Heat,,,
920,Markham Royals,,,
921,Niagara North Stars U16 AAA,,,
922,HC Příbram,,,
926,Florida Everblades,,,
929,Füchse Duisburg,,,
934,Endicott College,,,
935,Unknown,,,
941,Corpus Christi IceRays,,,
943,Wichita Thunder,,,
950,Milano Rossoblu,,,
951,Prince George Cougars,,,
955,Port Huron Icehawks,,,
956,Totempo HVIK,,,
958,Elmira Aviators,,,
962,Penticton Vees Senior AAA,,,
963,No team,,,
966,Portland Pirates,,,
967,RIT (Rochester Inst. of Tech.),,,
970,Bílí Tygři Liberec U20,,,
971,Prince Albert Raiders,,,
973,HK Nový Jičín,,,
977,Fargo Force,,,
980,RoKi,,,
982,Reading Royals,,,
984,Moncton Wildcats,,,
988,Skövde IK J18,,,
992,Camrose Red Wings U15 AAA,,,
998,Toledo Walleye,,,
1001,Steinbach Pistons,,,
1007,Nanaimo Clippers,,,
1014,Chicoutimi Saguenéens,,,
1015,Saint-Jérome Cheminots (D2),,,
1019,Niagara IceDogs,,,
1021,Zug U20,,,
1023,HK MVD,,,
1025,Côte-du-Sud Everest,,,
1026,Providence Bruins,,,
1027,HC Plzeň 1929,,,
1031,Waywayseecappo Wolverines,,,
1032,Pursuit of Excellence U15 Prep,,,
1045,San Diego Gulls,,,
1048,Moose Jaw Generals U18 AAA,,,
1051,Oshawa Generals,,,
1054,HK 96 Nitra,,,
1056,EV Zug,,,
1057,Norfolk Admirals,,,
1059,Saginaw Spirit,,,
1062,Sherbrooke Phoenix,,,
1067,North Bay Battalion,,,
1068,Fort McMurray Oil Barons,,,
1070,HC Letci Letňany,,,
1072,Binghamton Devils,,,
1077,Los Angeles Selects HC 16U AAA,,,
1080,Abbotsford Canucks,,,
1084,Univ. of Alaska-Fairbanks,,,
1088,Kuban Krasnodar,,,
1091,RINK Hockey Academy Prep,,,
1096,Spokane Chiefs,,,
1098,Baie-Comeau Drakkar,,,
1099,Yellowhead Chiefs U18 AAA,,,
1102,Charlotte Checkers,,,
1104,Nybro Vikings IF,,,
1111,Chilliwack Chiefs,,,
1112,Greenville Swamp Rabbits,,,
1113,Kassel Huskies,,,
1115,Kloten Flyers,,,
1117,Lake Forest Academy,,,
1121,HC Sierre-Anniviers,,,
1122,Missouri Mavericks,,,
1126,HC Fribourg-Gottéron,,,
1127,Belle Tire 16U AAA,,,
1132,Hockey Thurgau,,,
1140,Bismarck Bobcats,,,
1147,HC Stadion Vrchlabí,,,
1155,Sheffield Senators,,,
1157,EC Peiting,,,
1162,Barrie Colts,,,
1164,Frederikshavn IK,,,
1165,Pelicans U20,,,
1173,HC Litvínov,,,
1175,SC Langenthal,,,
1178,HK Poprad U20,,,
1179,Winnipeg Hawks U15 AAA,,,
1182,Cedar Rapids RoughRiders,,,
1183,Peterborough Phantoms,,,
1184,Evansville Icemen,,,
1188,Anaheim Jr. Ducks 16U AAA,,,
1191,Wentworth Inst. of Tech.,,,
1192,Osoyoos Coyotes,,,
1193,Huntsville Havoc,,,
1195,Brother Rice High,,,
1202,Lausanne HC,,,
1203,Rimouski Océanic,,,
1206,Orlando Solar Bears,,,
1208,Clemensnäs HC,,,
1215,Manitoba Moose,,,
1216,Guelph Storm,,,
1220,EfB Ishockey,,,
